video_id,title,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,description,tags,genre_id,confidence,reason
q85o7wPb1eE,【英語音声のみ】鉄壁｜501〜1000を“英語→2秒→英語”｜聞き流し,2026-02-05T16:48:56Z,334,6,0,1652,https://i.ytimg.com/vi/q85o7wPb1eE/maxresdefault.jpg,#英単語 #英語学習  #鉄壁  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_teppeki,high,鉄壁単語の聞き流し動画
mrE8LVDUmyw,【英語音声のみ】鉄壁｜1001〜1500を“英語→2秒→英語”｜聞き流し,2026-02-05T15:46:09Z,103,1,0,1637,https://i.ytimg.com/vi/mrE8LVDUmyw/maxresdefault.jpg,,,vocab_teppeki,high,鉄壁の英単語の聞き流し動画
y-BINGkGhvo,【英語音声のみ】ターゲット1400｜501〜1000を“英語→2秒→英語”｜聞き流し,2026-02-05T09:30:24Z,617,16,1,1635,https://i.ytimg.com/vi/y-BINGkGhvo/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1400  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1400,high,ターゲット1400の英単語聞き流し動画だから
vOrxadNiNns,【英語音声のみ】ターゲット1400｜1〜500を“英語→2秒→日本語”｜聞き流し,2026-02-04T23:06:20Z,796,14,0,1636,https://i.ytimg.com/vi/vOrxadNiNns/maxresdefault.jpg,#英単語 #英語学習  #ターゲット1400 #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_target1400,high,ターゲット1400の聞き流し動画であるため
3K7Qjo3C_ho,【英語音声のみ】鉄壁｜1〜500を“英語→2秒→英語”｜聞き流し,2026-02-04T22:32:34Z,681,9,3,1645,https://i.ytimg.com/vi/3K7Qjo3C_ho/maxresdefault.jpg,#英単語 #英語学習  #鉄壁  #聞き流し #受験勉強 #英語リスニング #暗記 #大学受験,,vocab_teppeki,high,鉄壁の単語を英語音声で聞き流し
YcfIjfrY3ug,【聞き流し】毎日聴くから英語脳になる　ターゲット1900の単語ベースのポッドキャスト,2026-01-31T15:30:48Z,135,0,4,922,https://i.ytimg.com/vi/YcfIjfrY3ug/maxresdefault.jpg,"🎧 Topic: How AI Algorithms Shape Our Daily Decisions 
📊 Level: ターゲット1900（大学入試レベル）

AIアルゴリズムが私たちの日常の決断にどう影響を与えているのか？最新のテクノロジーについて英語で学びましょう。

📌 タイムスタンプ（目次）
00:00 Intro - AIとの関わり
02:29 Main 1 - アルゴリズムの歴史とデータ
06:43 Main 2 - メリットとデメリット（プライバシーと効率） 
11:02 Main 3 - 実社会での具体例（SNSや採用） 
15:24 Vocabulary Corner - 重要単語10個の解説 
18:24 Outro - まとめとメッセージ

💡 Key Vocabulary（今日の重要単語）
ターゲット1900から、この動画に登場する重要単語をピックアップ。
・create (No. 1): を創り出す
・increase (No. 2): 増加する 
・improve (No. 3): を向上させる 
・mean (No. 4): を意味する 
・own (No. 5): を所有している 
・include (No. 6): を含む 
・consider (No. 7): を見なす 
・allow (No. 8): を許す 
・suggest (No. 9): を提案する 
・produce (No. 10): を生産する

⚠️ 免責事項
※本動画はAI（GPT-4o, TTS-1, DALL-E 3）によって自動生成された学習用コンテンツです。公式の「ターゲット1900」とは関係ありません。",,vocab_target1900,high,ターゲット1900単語ベースの聞き流し動画
kO81cbxODSQ,【ターゲット1900】英語→日本語音声　No.501-1000,2025-12-03T22:09:24Z,7774,96,7,2486,https://i.ytimg.com/vi/kO81cbxODSQ/hqdefault.jpg,,,vocab_target1900,high,ターゲット1900の英単語聞き流し動画
gC9g4S91lFQ,【システム英単語】英語→日本語音声　絶対覚えるエクササイズ,2025-11-07T22:27:49Z,240,4,0,1775,https://i.ytimg.com/vi/gC9g4S91lFQ/hqdefault.jpg,,,vocab_other,high,システム英単語の聞き流し動画
tAqv84T0wog,【ターゲット1200】英語→日本語音声　絶対覚えるエクササイズ,2025-10-31T16:13:41Z,7975,194,14,1469,https://i.ytimg.com/vi/tAqv84T0wog/hqdefault.jpg,,,vocab_target1200,high,タイトルにターゲット1200の聞き流し動画
XQD2Q130Wag,【ターゲット1900】英語→日本語音声　No.0-500,2025-09-29T15:41:40Z,11394,183,4,1560,https://i.ytimg.com/vi/XQD2Q130Wag/hqdefault.jpg,,,vocab_target1900,high,ターゲット1900の英単語聞き流し動画
eIwlG2DAiag,【ランダム】英単語帳 鉄壁を聞いて、発音、効率エクササイズ,2025-09-22T14:39:02Z,465,11,0,1989,https://i.ytimg.com/vi/eIwlG2DAiag/hqdefault.jpg,,,vocab_teppeki,high,鉄壁英単語の聞き流し練習動画
Naqg8zFwx7Y,【問題付き！】【鉄壁英文 #10】鉄壁の英単語No.401-500で英文リスニング,2025-07-27T22:14:17Z,193,3,0,285,https://i.ytimg.com/vi/Naqg8zFwx7Y/maxresdefault.jpg,"こちらのリスニング教材は「鉄壁」のNo301-400の英単語を元に作られたものです。
重要単語は動画内で赤文字にしています。単語は概要欄下部にリストアップ。

🌟【問題編】🌟

第1問（日本語）
本文によると、腐敗の主な影響として正しいものはどれか？
A. 法律の厳格化
B. 富の均等化
C. 信頼の破壊と不公平の拡大
D. 経済成長の促進

第2問（日本語）
以下のうち、本文において「正義」にとって必要な条件として明示的に述べられているものは？
A. 軍事的な抑止力
B. 高度な技術力
C. 道徳的な基盤
D. 経済的自立

第3問（日本語）
本文で「嘘を飲み込む（swallow lies）」理由として述べられていることは？
A. 社会的地位を得るため
B. 本当のことがあまりに苦痛だから
C. 誤った教育を受けているから
D. 他人に合わせようとするため

第4問（English）
According to the passage, what is a necessary trait of leaders in order to maintain justice?
A. The ability to gain personal profit
B. Avoiding legal responsibility
C. Faithfully representing the people
D. Expanding their authority

第5問（English）
What is suggested as the way to address deep-rooted problems in society?
A. Pretending everything is fine
B. Assuming the current system is perfect
C. Suggesting practical steps for reform
D. Ignoring public opinion

✅【解答＆解説編】✅

第1問 正解：C
→ 本文冒頭にて、「Bribery and fraud… destroy trust and distort fairness」とあり、腐敗は信頼を壊し、公平性を歪めると明言されている。

第2問 正解：C
→ Justice requires more than legal means—it demands a moral foundation（正義には法だけでなく道徳的な基盤が必要）と本文中で直接述べられている。

第3問 正解：B
→ 「the public may swallow lies simply because the truth is too painful」という一文に基づく。

第4問 正解：C
→ 本文より「Leaders must represent the people faithfully」が根拠。正義を保つには、指導者は人々を誠実に代表しなければならない。

第5問 正解：C
→ 「we must suppose that change is possible and suggest practical steps」とあり、根深い問題を解決するには実践的な改革提案が必要だと説いている。

【⭐️英単語とその意味⭐️】
unfortunately（残念ながら）
original（元の、最初の）
luggage（手荷物）
organization（組織）
limited（限られた）
procedure（手順）
experienced（経験豊富な）
personnel（人員）
benefit（利益、恩恵）
focus（集中する）
participate（参加する）
cause（原因）
degree（程度）
host（主催する）
expert（専門家）
mainly（主に）
suggestion（提案）
supplier（供給業者）
document（文書）
remind（思い出させる）
require（要求する）
representative（代表者）

【日本語訳】
正義・腐敗・個人の役割
すべての社会において、人々は複雑な現実と向き合わなければなりません——それは時に心を奮い立たせ、また時に心を痛めるものです。多くの人が誠実に生きようと努力する一方で、欲望や恐れ、絶望によって誘惑に負ける者もいます。腐敗は多様な形で存在し、常に正義と安定を脅かす厄介な存在です。

賄賂や詐欺は単なる違法行為ではありません。それらは信頼を破壊し、公平さをゆがめます。たった一度の賄賂が一人には利益をもたらすかもしれませんが、多くの他者には苦しみをもたらします。ビジネス、政治、教育における不正行為は、組織の崩壊や人々の人生の破滅につながる可能性があります。極端な場合、国家全体の経済が欺瞞と経営の失敗によって崩壊することさえあります。

そうした破局を生き延びた人々は、感情的にも経済的にも傷を負っていることが多いです。公の場から姿を消す人もいれば、新たな目的を持って再起する人もいます。社会はそうした生存者に敬意を表しますが、その一方で、彼らの行動や判断についての説明責任を求める傾向もあります。このような透明性と責任への関心は、信頼を取り戻すために不可欠です。

多くの市民が将来に不安を感じています。特に、公的機関の職員が緊急の課題に対応しないとき、その不安は増します。指導者が弱い政策を適用したり、自己中心的に振る舞ったりすると、社会全体がその被害を受けるのです。それでも人々は変化を待ち続けています。努力と説明責任は、権力を持つ者だけでなく、私たち一人ひとりにも求められるべきです。

一見すると意外かもしれませんが、危機の時でさえ、私たちにとって不利な状況ばかりとは限りません。問題が発生したときは、それをはっきりとした言葉と揺るがぬ決意で真正面から受け止めなければなりません。権力を持つ者は目標を明確に示し、失敗の責任を負うべきです。多くの場合、国家自体が守護者として、そして執行者としての役割を果たす必要があります。

法的な問題では、「真実」は正義と不正義を分ける決定的な要素となります。しかし、正義を実現するには法だけでは不十分で、道徳的な土台が必要です。指導者たちは、国民を誠実に代表しなければなりません。単に権力を私的に使うのではなく、法律だけでなく倫理も守らなければなりません。

時には、真実があまりにも痛ましいために、人々が嘘を受け入れてしまうこともあります。しかし、健全な企業や組織は欺瞞では成長しません。信頼によって成長するのです。市民は対話に参加し、正直な情報を受け取り、必要に応じて責任を取らなければなりません。真実を拒否し、証拠を無視することは、進歩を否定することに他なりません。

社会は見かけだけで成り立っているのではなく、本質的な価値によって成り立っています。人々は、公正さを裁判所だけでなく、学校、病院、職場などあらゆる場で求めています。道徳的責任から免れる者は誰一人としておらず、誰もが社会システムを改善する力を持っているのです。

根深い問題を解決するためには、「変化は可能である」と仮定し、現実的な改革の手段を提案しなければなりません。改革を提案することは、すべての答えを持っていると装うことではなく、現状に疑問を持つということです。私たちは、共に成功し、また共に失敗する共同体に属しているのです。

政府は、すべての人に機会を提供し、少数ではなく多数を支える政策を選択しなければなりません。正義と思いやりを兼ね備えた国家は、その努力を決して後悔しません。人々は失望ではなく満足を覚えます。破られた約束にうんざりすることなく、本物の進歩に驚嘆するのです。

私たちを導くのは恐れではなく、希望でなければなりません。不平等の原因は多岐にわたり、複雑です。しかし、何もしないことの結果は常に同じです——分裂と衰退です。指導者たちは水準を引き上げ、嘘をつくのではなく、未来の基盤を築く責任を果たすべきです。

公共機関は透明性を示さなければなりません。法律はわかりやすく、混乱を招くものであってはなりません。快適さはすべての人に届けられるべきであり、間違いは速やかに正されるべきです。正当な給料と良い評判は、誠実な労働に対する報酬であり、噂話やえこひいきによるものではありません。

市民には、情報を正しく把握し、誠実に行動する義務があります。すべての危機はまた、機会でもあります——無関心になるのではなく、冷静かつ好奇心をもって対処するチャンスなのです。たとえ対立が起こったとしても、私たちは残酷さを避け、相互理解に努めなければなりません。

私たちの世界は完全な正義を実現できないかもしれません。しかし、私たちはそれをより「意義深く」、より「人間的に」することはできます。他者と関わり、違いを超えてつながり、不正と向き合うこと——それこそが、自由で道徳的な人々の責任なのです。",,listening_teppeki,high,鉄壁単語の英文リスニング問題付き動画
